[1,2,3,4,5,6,410,10,14,15,17,19,21,23,25,26,31,32,41,60,49,50,50,0,49,]
[301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,]
[302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,]
[303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,]
[304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,]
[305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,]
[306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,7,410,410,410,306,306,410,306,306,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,8,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,9,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,]
[307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,]
[308,308,308,308,308,11,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,]
[410,410,410,410,410,410,410,12,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,410,410,13,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,]
[310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,]
[311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,]
[400,400,400,400,400,400,400,400,400,16,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,]
[312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,]
[401,401,401,401,401,401,401,401,401,401,18,401,401,401,401,401,401,401,401,401,401,401,401,401,401,]
[313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,]
[402,402,402,402,402,402,402,402,402,402,402,20,402,402,402,402,402,402,402,402,402,402,402,402,402,]
[314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,]
[403,403,403,403,403,403,403,403,403,403,403,403,22,403,403,403,403,403,403,403,403,403,403,403,403,]
[315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,]
[316,316,316,316,316,316,316,316,316,316,316,316,316,24,316,316,316,316,316,316,316,316,316,316,316,]
[317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,]
[318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,]
[319,319,319,319,319,319,319,319,319,319,319,319,319,319,27,319,319,319,319,319,319,319,319,319,319,]
[404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,28,28,404,28,28,]
[404,404,404,404,404,404,404,404,404,404,404,404,404,404,29,404,404,404,404,404,28,28,404,28,28,]
[404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,30,404,404,404,404,404,404,404,404,404,]
[320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,]
[321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,]
[322,322,322,322,322,322,322,322,33,322,322,322,322,322,322,322,38,34,322,322,322,322,322,322,322,]
[323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,35,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,36,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,37,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,]
[324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,39,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,40,410,410,410,410,410,410,410,]
[325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,]
[326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,46,326,42,326,326,326,326,326,326,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,43,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,44,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,45,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,]
[327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,47,410,410,410,410,410,410,410,410,]
[410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,48,410,410,410,410,410,410,]
[328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,]
[329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,49,50,50,329,49,]
[330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,50,50,50,330,50,]
[331,331,331,331,331,331,55,331,331,331,331,331,331,331,331,331,331,331,331,331,411,51,331,331,52,]
[406,406,406,406,406,406,406,406,53,406,406,406,406,53,406,406,406,406,406,406,406,406,406,406,54,]
[406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,54,406,406,406,]
[332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,54,332,332,332,]
[407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,56,407,407,407,]
[333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,407,56,333,333,57,]
[408,408,408,408,408,408,408,408,58,408,408,408,408,58,408,408,408,408,408,408,408,408,408,408,58,]
[408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,60,408,59,408,408,408,]
[334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,59,334,334,334,]
[409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,61,61,409,61,61,]
[409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,335,61,61,409,61,61,]
